Framework,TagName,Count
"tensorflow","tensorflow","71931"
"keras","keras","36808"
"scikit-learn","scikit-learn","24215"
"pytorch","pytorch","13942"
"nltk","nltk","6649"
"tensorflow","tensorflow2.0","4780"
"spark-ml","apache-spark-mllib","2197"
"tensorflow","tensorflow-lite","1738"
"tensorflow","tensorflow-datasets","1703"
"keras","tf.keras","1621"
"keras","keras-layer","1444"
"tensorflow","tensorflow.js","1313"
"tensorflow","tensorflow-serving","1204"
"huggingface","huggingface-transformers","1091"
"spark-ml","apache-spark-ml","888"
"tensorflow","tensorflow-estimator","670"
"tensorflow","tensorflow-gpu","429"
"tensorflow","tensorflow-probability","284"
"tensorflow","tensorflow-hub","270"
"keras","keras-2","268"
"tensorflow","tensorflow2.x","254"
"tensorflow","tensorflow-federated","241"
"huggingface","huggingface-tokenizers","173"
"pytorch","pytorch-lightning","159"
"tensorflow","tensorflowjs-converter","124"
"pytorch","pytorch-dataloader","113"
"keras","keras-tuner","100"
"tensorflow","tensorflow-slim","87"
"tensorflow","tensorflow-model-garden","79"
"tensorflow","tensorflow1.15","71"
"tensorflow","tensorflow-transform","70"
"keras","keras-rl","68"
"keras","auto-keras","62"
"tensorflow","tensorflow-xla","61"
"tensorflow","tensorflow2","56"
"pytorch","spacy-pytorch-transformers","41"
"nltk","nltk-trainer","41"
"nltk","nltk-book","40"
"tensorflow","tensorflow-agents","37"
"tensorflow","tensorflow-data-validation","36"
"huggingface","huggingface-datasets","28"
"tensorflow","tensorflow-model-analysis","26"
"tensorflow","tensorflow-gradient","23"
"tensorflow","distributed-tensorflow","22"
"tensorflow","tensorflow-ssd","22"
"tensorflow","tensorflowsharp","21"
"tensorflow","tensorflowjs","19"
"pytorch","gpytorch","18"
"tensorflow","tensorflow-android","16"
"tensorflow","swift-for-tensorflow","15"
"tensorflow","tensorflow-quantum","15"
"tensorflow","tensorflow-c++","14"
"scikit-learn","scikit-learn-pipeline","12"
"tensorflow","tensorflow-layers","12"
"keras","keras-vggface","10"
"keras","keras-metrics","10"
"pytorch","pytorch-ignite","9"
"tensorflow","intel-tensorflow","6"
"pytorch","pytorch3d","5"
"pytorch","intel-pytorch","3"
"keras","keras-lambda","3"
"tensorflow","tensorflow1.12","1"
"tensorflow","tensorflow-addons","1"